ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3685,D,Road,4,3,258,2,low,F,2,4308,0
9822,F,Ship,4,2,151,3,medium,M,3,5154,1
4305,A,Ship,4,4,163,2,low,F,9,4720,0
10977,A,Flight,3,2,278,4,medium,M,9,1631,0
3916,B,Ship,3,4,250,3,low,M,10,5688,0
7023,A,Ship,3,1,179,2,medium,F,10,4828,0
6673,D,Ship,3,5,153,4,low,F,10,5897,0
10687,D,Flight,5,4,184,5,low,F,5,4782,0
2611,D,Flight,4,2,214,3,medium,F,20,2009,1
2924,F,Ship,4,3,134,3,high,F,22,1629,1
1083,A,Road,6,3,236,3,medium,M,6,2639,1
9773,C,Ship,2,1,234,4,medium,F,9,5075,0
662,F,Road,5,3,146,4,low,M,5,1718,1
9205,D,Ship,3,3,187,6,low,F,2,4549,0
5265,A,Ship,6,1,304,4,low,F,4,1236,1
6624,F,Ship,3,4,160,4,medium,M,9,4733,1
10728,F,Ship,5,4,219,5,low,M,10,1363,1
8082,F,Flight,5,4,142,3,low,F, *7 ,5468,1
7162,B,Ship,6,2,306,4,low,F,6,1123,0
5755,D,Flight,6,4,305,4,low,F, *7 ,1172,1
8854,B,Ship,4,2,265,4,medium,F,10,4575,1
415,D,Flight,2,1,218,2,low,M,15,2745,1
6090,F,Ship,4,1,132,6,high,M, *7 ,4902,1
6356,F,Ship,2,4,114,4,low,M,9,4452,1
9973,D,Ship,3,1,167,2,low,F, *7 ,4171,1
7213,D,Ship,6,2,280,4,low,M,10,1866,1
8205,A,Road,3,4,163,3,medium,M,5,5088,1
3513,A,Ship,3,1,243,3,low,F,2,4989,0
4158,F,Ship,3,1,243,2,medium,M,10,5460,0
10783,D,Ship,2,1,240,2,low,M, *7 ,1144,1
8743,D,Road,5,4,189,2,low,F,4,5575,1
8650,B,Ship,7,5,273,4,medium,M,9,1329,1
7436,F,Ship,6,5,240,3,low,M,4,5219,1
2728,B,Road,4,4,208,2,high,F,20,2759,1
8706,F,Ship,3,1,204,3,medium,M,4,4619,1
7434,F,Ship,4,4,144,3,low,F, *7 ,5351,1
6951,A,Ship,3,1,221,2,medium,F,6,5267,0
7545,A,Flight,5,2,146,3,low,F, *7 ,4524,1
8831,C,Ship,5,5,239,5,low,M,6,1887,1
7481,C,Ship,7,2,272,4,medium,M,9,1188,1
10585,D,Ship,5,5,187,3,medium,F,5,4613,0
2912,F,Ship,3,4,274,3,medium,M,19,3076,1
4614,F,Ship,3,2,142,2,low,M, *7 ,4082,0
9516,F,Ship,3,1,150,2,low,F,6,5697,0
7596,F,Ship,5,2,269,2,medium,F,9,5672,0
7584,F,Ship,3,2,158,3,medium,F,1,5438,0
